*********************************************************
总结点个数:4546
总边数12319
*********************************************************
编号	节点	度
255	YLL049w	17
256	YHR154w	17
257	YNL094w	17
258	YLR452c	17
259	YML115c	17
260	YDR054c	17
261	YHR166c	17
262	YOR026w	17
263	YPL181w	16
264	YDR108w	16
265	YLR210w	16
266	YDR420w	16
267	YJR112w	16
268	YJR135c	16
269	YML085c	16
270	YLR147c	16
271	YGR120c	16
272	YJR060w	16
273	YMR198w	16
274	YMR138w	16
275	YGL084c	16
276	YER165w	16
277	YDR217c	16
278	YJL074c	16
279	YFL038c	16
280	YGR092w	16
281	YBR198c	16
282	YJL203w	16
283	YBR288c	16
284	YJR082c	16
285	YDL132w	15
286	YDR309c	15
287	YNL041c	15
288	YHR099w	15
289	YDR245w	15
290	YGL153w	15
291	YGL244w	15
292	YER125w	15
293	YDR207c	15
294	YBR098w	15
295	YKL007w	15
296	YNL147w	15
297	YOR299w	15
298	YOR216c	15
299	YEL031w	15
300	YDL160c	15
301	YDL225w	15
302	YKL129c	15
303	YER179w	15
304	YOR036w	15
305	YHR012w	15
306	YNL171c	15
307	YDL006w	15
308	YML092c	14
309	YBR193c	14
310	YDR004w	14
311	YNL201c	14
312	YER083c	14
313	YNL084c	14
314	YBL016w	14
315	YDL065c	14
316	YJL154c	14
317	YNL098c	14
318	YNL079c	14
319	YPL024w	14
320	YER148w	14
321	YOR123c	14
322	YLR087c	14
323	YGL200c	14
324	YDR386w	14
325	YBR171w	14
326	YJL058c	14
327	YOR284w	14
328	YPL254w	14
329	YHR060w	14
330	YDL130w	14
331	YGL240w	14
332	YPR165w	14
333	YDL020c	14
334	YBL085w	14
335	YBR107c	14
336	YOR167c	14
337	YMR094w	14
338	YOR195w	14
339	YDR145w	14
340	YAR019c	13
341	YLR166c	13
342	YLR332w	13
343	YDR334w	13
344	YAR014c	13
345	YMR308c	13
346	YJL174w	13
347	YGL217c	13
348	YCR044c	13
349	YPL016w	13
350	YDR028c	13
351	YPL055c	13
352	YKR002w	13
353	YJL183w	13
354	YBL106c	13
355	YDR310c	13
356	YLR102c	13
357	YLR319c	13
358	YIL118w	13
359	YMR038c	13
360	YGR009c	13
361	YGR135w	13
362	YNL243w	13
363	YLR127c	13
364	YGL163c	13
365	YOL004w	13
366	YOR212w	13
367	YDR201w	13
368	YKR020w	13
369	YDL155w	13
370	YLR079w	13
371	YMR312w	13
372	YOL131w	13
373	YJR032w	13
374	YOR127w	13
375	YHR111w	13
376	YHR061c	13
377	YJR070c	13
378	YOR368w	13
379	YGL115w	13
380	YOR098c	12
381	YER032w	12
382	YDR485c	12
383	YOR122c	12
384	YLR310c	12
385	YIL046w	12
386	YGL161c	12
387	YOR249c	12
388	YHR200w	12
389	YGR140w	12
390	YMR154c	12
391	YDR103w	12
392	YLR191w	12
393	YHL004w	12
394	YOR035c	12
395	YPL253c	12
396	YDL047w	12
397	YIL106w	12
398	YDR149c	12
399	YCR088w	12
400	YGR268c	12
401	YBL050w	12
402	YLR424w	12
403	YLR293c	12
404	YLR208w	12
405	YHL031c	12
406	YEL017w	12
407	YBR101c	12
408	YLL043w	12
409	YGL092w	11
410	YAL047c	11
411	YJR118c	11
412	YKL068w	11
413	YIR006c	11
414	YJL148w	11
415	YBR057c	11
416	YOR039w	11
417	YNL154c	11
418	YPL255w	11
419	YJL187c	11
420	YJR104c	11
421	YPR105c	11
422	YGL168w	11
423	YDR264c	11
424	YIL159w	11
425	YDL008w	11
426	YBR254c	11
427	YPR181c	11
428	YKL203c	11
429	YDL013w	11
430	YOR355w	11
431	YEL037c	11
432	YDR395w	11
433	YKL022c	11
434	YBR217w	11
435	YDR148c	11
436	YGR249w	11
437	YDR416w	11
438	YDL192w	11
439	YMR159c	11
440	YJL199c	11
441	YNL064c	11
442	YNL044w	11
443	YOR069w	11
444	YDR363w-a	11
445	YJR076c	11
446	YJR073c	11
447	YOR025w	11
448	YMR060c	11
449	YGL229c	11
450	YOR014w	11
451	YOR174w	11
452	YPL169c	11
453	YDR335w	11
454	YOR358w	11
455	YOR067c	11
456	YBR175w	10
457	YGL019w	10
458	YGL237c	10
459	YGL207w	10
460	YPR040w	10
461	YAL026c	10
462	YLR277c	10
463	YBL051c	10
464	YMR052w	10
465	YLR111w	10
466	YJR093c	10
467	YGL198w	10
468	YOR023c	10
469	YGR089w	10
470	YLR368w	10
471	YBR135w	10
472	YHL007c	10
473	YPL256c	10
474	YOR327c	10
475	YPL240c	10
476	YNL006w	10
477	YFL005w	10
478	YKL025c	10
479	YNL307c	10
480	YAL002w	10
481	YKL103c	10
482	YDR277c	10
483	YJL041w	10
484	YDL140c	10
485	YDR369c	10
486	YKR048c	10
487	YDR118w	10
488	YLR026c	10
489	YDL194w	10
490	YGR074w	10
491	YBR017c	10
492	YER071c	10
493	YOR115c	10
494	YEL043w	10
495	YMR186w	10
496	YCR065w	10
497	YNL172w	10
498	YNR012w	10
499	YBR109c	10
500	YIL008w	10
501	YPL057c	10
502	YCL032w	10
503	YHR023w	10
504	YER019w	10
505	YOR043w	10
506	YER177w	10
507	YHR102w	10
508	YDR472w	10
509	YDR076w	10
510	YNL294c	10
511	YDR174w	10
512	YMR080c	10
513	YNL086w	10
514	YCL037c	10
515	YFR037c	9
516	YLR324w	9
517	YNL047c	9
518	YOL135c	9
519	YLR015w	9
520	YDR507c	9
521	YAL043c	9
522	YOR028c	9
523	YPL115c	9
524	YNL218w	9
525	YGR152c	9
526	YPL227c	9
527	YFR008w	9
528	YNR052c	9
529	YFR049w	9
530	YGL178w	9
531	YAL021c	9
532	YDL033c	9
533	YMR199w	9
534	YEL013w	9
535	YMR061w	9
536	YOR290c	9
537	YOR132w	9
538	YGL124c	9
539	YER107c	9
540	YDR468c	9
541	YFL059w	9
542	YMR197c	9
543	YDR192c	9
544	YNL216w	9
545	YOR275c	9
546	YDR225w	9
547	YJR090c	9
548	YER161c	9
549	YLR371w	9
550	YBL047c	9
551	YMR218c	9
552	YAR002w	9
553	YDR289c	9
554	YER105c	9
555	YBL084c	9
556	YLR321c	9
557	YOR232w	9
558	YDR084c	9
559	YJR117w	9
560	YOR106w	9
561	YLR338w	9
562	YDR389w	9
563	YNL070w	9
564	YIR017c	9
565	YPL017c	9
566	YML094c-a	9
567	YLR216c	9
568	YDR383c	9
569	YJL115w	9
570	YER157w	9
571	YDR407c	9
572	YOR020c	9
573	YBR205w	9
574	YKL118w	9
575	YLR360w	9
576	YDR110w	9
577	YKR055w	9
578	YNL078w	9
579	YDR228c	9
580	YKL074c	9
581	YGL172w	9
582	YLR370c	9
583	YER031c	9
584	YDR246w	9
585	YPR171w	9
586	YFL036w	9
587	YER122c	9
588	YLR078c	9
589	YJL061w	9
590	YML121w	9
591	YNL088w	9
592	YNL138w	8
593	YNL329c	8
594	YBR059c	8
595	YFR031c	8
596	YLR110c	8
597	YKR030w	8
598	YMR273c	8
599	YGL025c	8
600	YIL021w	8
601	YOR266w	8
602	YDR293c	8
603	YLR025w	8
604	YKL101w	8
605	YGR116w	8
606	YOL115w	8
607	YNL140c	8
608	YFR002w	8
609	YIL004c	8
610	YLR446w	8
611	YPL218w	8
612	YDL081c	8
613	YDR295c	8
614	YPL049c	8
615	YDR142c	8
616	YCR002c	8
617	YMR203w	8
618	YFL017c	8
619	YOR194c	8
620	YIL132c	8
621	YLR233c	8
622	YFR040w	8
623	YPR050c	8
624	YBR126c	8
625	YLR212c	8
626	YGL166w	8
627	YDL044c	8
628	YPR107c	8
629	YDR074w	8
630	YGR239c	8
631	YGR105w	8
632	YAL005c	8
633	YDR136c	8
634	YGL122c	8
635	YGL167c	8
636	YGR040w	8
637	YML042w	8
638	YFL009w	8
639	YBR274w	8
640	YPR070w	8
641	YKL041w	8
642	YGR178c	8
643	YLL039c	8
644	YDR422c	8
645	YIL105c	8
646	YDR137w	8
647	YKL023w	8
648	YPR178w	8
649	YFR010w	8
650	YBR034c	8
651	YAL058w	8
652	YNL025c	8
653	YJL157c	8
654	YOR197w	8
655	YGR241c	8
656	YOR008c	8
657	YGL233w	8
658	YER029c	8
659	YML071c	8
660	YBR045c	8
661	YHR181w	8
662	YDR146c	8
663	YLR261c	8
664	YKR028w	8
665	YNL333w	8
666	YBL102w	8
667	YKR072c	8
668	YMR240c	8
669	YGL005c	8
670	YPL020c	8
671	YGL250w	8
672	YKL057c	8
673	YHR004c	8
674	YDR490c	8
675	YOR140w	8
676	YDL159w	7
677	YBR119w	7
678	YLR190w	7
679	YNL258c	7
680	YGR072w	7
681	YCR099c	7
682	YDL154w	7
683	YAR003w	7
684	YGR058w	7
685	YDL127w	7
686	YHL006c	7
687	YJL070c	7
688	YFR052w	7
689	YJR145c	7
690	YDR315c	7
691	YIL109c	7
692	YPL246c	7
693	YDL012c	7
694	YDL207w	7
695	YOL139c	7
696	YPR182w	7
697	YIL007c	7
698	YNR053c	7
699	YBR112c	7
700	YOR302w	7
701	YPR120c	7
702	YER116c	7
703	YOR324c	7
704	YGL020c	7
705	YMR089c	7
706	YLR433c	7
707	YGR014w	7
708	YDR099w	7
709	YJR083c	7
710	YGR082w	7
711	YBR195c	7
712	YJL004c	7
713	YMR001c	7
714	YOR231w	7
715	YDR489w	7
716	YOR117w	7
717	YBL025w	7
718	YHR161c	7
719	YIL033c	7
720	YNL106c	7
721	YGR136w	7
722	YBR108w	7
723	YER124c	7
724	YDR203w	7
725	YMR124w	7
726	YGL206c	7
727	YPR017c	7
728	YLR082c	7
729	YCL063w	7
730	YER059w	7
731	YDL077c	7
732	YNR028w	7
733	YMR167w	7
734	YIL095w	7
735	YOR319w	7
736	YJL190c	7
737	YEL053c	7
738	YKR059w	7
739	YLR315w	7
740	YOL061w	7
741	YHR135c	7
742	YLR314c	7
743	YGL253w	7
744	YKR037c	7
745	YDR425w	7
746	YNL113w	7
747	YDL117w	7
748	YIL084c	7
749	YLR264w	7
750	YER151c	7
751	YDR360w	7
752	YPL152w	7
753	YLR335w	7
754	YNL097c	7
755	YNL051w	7
756	YDL089w	7
757	YPL050c	7
758	YLR456w	7
759	YDR276c	7
760	YBR278w	7
761	YPL089c	7
762	YOR285w	7
763	YBR091c	7
764	YNR032w	7
765	YPL086c	7
766	YDR484w	7
767	YAL030w	7
768	YMR255w	7
769	YDL005c	7
770	YBR082c	7
771	YDR301w	7
772	YCR066w	7
773	YJL176c	7
774	YER063w	7
775	YOR361c	7
776	YMR309c	7
777	YMR004w	7
778	YGL236c	7
779	YGR162w	7
780	YNL091w	7
781	YOR101w	7
782	YKL135c	7
783	YER086w	7
784	YMR168c	7
785	YDR394w	7
786	YOR068c	7
787	YAL032c	7
788	YML007w	7
789	YBR176w	7
790	YLR345w	7
791	YLR135w	7
792	YGR195w	7
793	YNL215w	7
794	YLR182w	7
795	YGL213c	7
796	YLR328w	7
797	YBR260c	7
798	YJR140c	7
799	YDL002c	7
800	YBR058c	7
801	YGR270w	7
802	YNL297c	7
803	YMR272c	7
804	YGR200c	7
805	YKL032c	7
806	YGR048w	7
807	YNL263c	7
808	YDR244w	7
809	YJL128c	7
810	YGL145w	7
811	YKL061w	7
812	YML038c	7
813	YLR105c	6
814	YJL139c	6
815	YOR156c	6
816	YIL045w	6
817	YER018c	6
818	YCL040w	6
819	YLR067c	6
820	YJL098w	6
821	YPR185w	6
822	YPR111w	6
823	YOR315w	6
824	YNL099c	6
825	YLR254c	6
826	YDR429c	6
827	YBR162c	6
828	YKR092c	6
829	YNL272c	6
830	YLR263w	6
831	YGL175c	6
832	YML008c	6
833	YNL317w	6
834	YDL246c	6
835	YNL103w	6
836	YKL012w	6
837	YMR068w	6
838	YGR010w	6
839	YDL235c	6
840	YBL101c	6
841	YNL288w	6
842	YHR171w	6
843	YHR013c	6
844	YKL037w	6
845	YGR123c	6
846	YOR085w	6
847	YOR160w	6
848	YDR299w	6
849	YJL014w	6
850	YCR038c	6
851	YDL165w	6
852	YPL211w	6
853	YER093c	6
854	YLL024c	6
855	YCR082w	6
856	YBL062w	6
857	YBR255w	6
858	YLR305c	6
859	YOL133w	6
860	YML016c	6
861	YDR156w	6
862	YLR425w	6
863	YPL180w	6
864	YNL238w	6
865	YJR066w	6
866	YPL084w	6
867	YDL147w	6
868	YJL039c	6
869	YDR414c	6
870	YPL111w	6
871	YPL077c	6
872	YJR159w	6
873	YKL205w	6
874	YDR469w	6
875	YDR480w	6
876	YEL042w	6
877	YOR159c	6
878	YEL036c	6
879	YLL001w	6
880	YDL203c	6
881	YLR032w	6
882	YER162c	6
883	YMR139w	6
884	YLR313c	6
885	YGL053w	6
886	YJR132w	6
887	YHR058c	6
888	YEL005c	6
889	YKL196c	6
890	YIL050w	6
891	YLR052w	6
892	YPR191w	6
893	YGR179c	6
894	YPL105c	6
895	YMR147w	6
896	YPL213w	6
897	YFR015c	6
898	YPR163c	6
899	YEL048c	6
900	YIL035c	6
901	YDR260c	6
902	YBL024w	6
903	YIL142w	6
904	YDR183w	6
905	YCR035c	6
906	YGR143w	6
907	YPR010c	6
908	YHR089c	6
909	YEL066w	6
910	YMR065w	6
911	YOR002w	6
912	YKL058w	6
913	YJL047c	6
914	YPL069c	6
915	YOR308c	6
916	YCR020c-a	6
917	YDR271c	6
918	YMR235c	6
919	YPR032w	6
920	YOL081w	6
921	YAL023c	6
922	YPR084w	6
923	YMR025w	6
924	YLR150w	6
925	YCR034w	6
926	YDR440w	6
927	YMR192w	6
928	YNL287w	6
929	YOR303w	6
930	YDR016c	6
931	YGL061c	6
932	YOL051w	6
933	YDL134c	6
934	YMR268c	6
935	YNL126w	6
936	YDR508c	6
937	YLR115w	6
938	YLR045c	6
939	YJR065c	6
940	YBR077c	6
941	YHR172w	6
942	YJL110c	6
943	YNR069c	6
944	YDL143w	6
945	YKL213c	6
946	YGR158c	6
947	YPR023c	6
948	YEL041w	6
949	YPR110c	6
950	YOR180c	6
951	YDR100w	6
952	YLR358c	6
953	YNL121c	6
954	YFL023w	6
955	YDL217c	6
956	YPL101w	6
957	YBR155w	6
958	YDR372c	6
959	YDL108w	6
960	YOR297c	6
961	YKR099w	6
962	YBR137w	6
963	YLL006w	6
964	YJL194w	6
965	YLR384c	6
966	YER052c	6
967	YFL016c	6
968	YBR133c	6
969	YDL162c	6
970	YML001w	6
971	YGR144w	6
972	YPL120w	6
973	YML028w	6
974	YNL291c	6
975	YPL203w	6
976	YKL142w	6
977	YKR001c	6
978	YOL108c	6
979	YGR182c	6
980	YMR123w	6
981	YNL199c	6
982	YBR172c	6
983	YDL181w	6
984	YHR134w	6
985	YPL192c	6
986	YKR034w	6
987	YGL194c	6
988	YBL008w	6
989	YDR227w	6
990	YHR128w	6
991	YHR005c	6
992	YHR115c	5
993	YJL117w	5
994	YGR294w	5
995	YLR377c	5
996	YPR024w	5
997	YBR099c	5
998	YMR092c	5
999	YNL330c	5
1000	YLR215c	5
1001	YGR228w	5
1002	YCR033w	5
1003	YML015c	5
1004	YOR178c	5
1005	YLR056w	5
1006	YPR055w	5
1007	YOR188w	5
1008	YJL053w	5
1009	YJR141w	5
1010	YOL123w	5
1011	YBR015c	5
1012	YOR329c	5
1013	YOR057w	5
1014	YKR014c	5
1015	YNL135c	5
1016	YGR167w	5
1017	YAL036c	5
1018	YER020w	5
1019	YNL116w	5
1020	YOR109w	5
1021	YKL194c	5
1022	YHL018w	5
1023	YBR095c	5
1024	YGL043w	5
1025	YER084w	5
1026	YML057w	5
1027	YOR136w	5
1028	YDL055c	5
1029	YDR455c	5
1030	YDR216w	5
1031	YMR149w	5
1032	YCL055w	5
1033	YPR126c	5
1034	YDR206w	5
1035	YNL229c	5
1036	YBR114w	5
1037	YLR035c	5
1038	YAR007c	5
1039	YJL173c	5
1040	YOR075w	5
1041	YAL009w	5
1042	YIL076w	5
1043	YAR008w	5
1044	YBL093c	5
1045	YOR176w	5
1046	YAR018c	5
1047	YOR142w-a	5
1048	YKL082c	5
1049	YCR030c	5
1050	YIR008c	5
1051	YDR229w	5
1052	YJR086w	5
1053	YGR047c	5
1054	YOR110w	5
1055	YPL215w	5
1056	YDR351w	5
1057	YOL083w	5
1058	YOR076c	5
1059	YGR071c	5
1060	YNR007c	5
1061	YBL001c	5
1062	YLL002w	5
1063	YNL039w	5
1064	YGR246c	5
1065	YOL064c	5
1066	YPL205c	5
1067	YJL019w	5
1068	YJL151c	5
1069	YKL126w	5
1070	YBR060c	5
1071	YPL140c	5
1072	YJR102c	5
1073	YBL072c	5
1074	YJR055w	5
1075	YOR158w	5
1076	YPL153c	5
1077	YKL089w	5
1078	YBR194w	5
1079	YDR078c	5
1080	YLR217w	5
1081	YBL021c	5
1082	YER154w	5
1083	YHL011c	5
1084	YGR180c	5
1085	YOR045w	5
1086	YKR083c	5
1087	YOR007c	5
1088	YLR014c	5
1089	YNL127w	5
1090	YBL023c	5
1091	YJL159w	5
1092	YNL069c	5
1093	YMR022w	5
1094	YDR138w	5
1095	YCR067c	5
1096	YHR005c-a	5
1097	YNL032w	5
1098	YDR172w	5
1099	YDR279w	5
1100	YBR087w	5
1101	YBL066c	5
1102	YOR191w	5
1103	YPL102c	5
1104	YJR068w	5
1105	YGL087c	5
1106	YLR275w	5
1107	YNL166c	5
1108	YDR359c	5
1109	YJL090c	5
1110	YBR154c	5
1111	YKR082w	5
1112	YJL036w	5
1113	YMR200w	5
1114	YGR024c	5
1115	YGR157w	5
1116	YHL027w	5
1117	YLR125w	5
1118	YPL234c	5
1119	YOR059c	5
1120	YBR237w	5
1121	YHR118c	5
1122	YOR164c	5
1123	YER023w	5
1124	YIL022w	5
1125	YBR221c	5
1126	YER064c	5
1127	YFL029c	5
1128	YGL135w	5
1129	YGR191w	5
1130	YKL139w	5
1131	YGR274c	5
1132	YER044c	5
1133	YEL068c	5
1134	YLR258w	5
1135	YDL071c	5
1136	YMR290c	5
1137	YGL254w	5
1138	YML055w	5
1139	YDR212w	5
1140	YDL070w	5
1141	YER127w	5
1142	YGR020c	5
1143	YDR014w	5
1144	YIL074c	5
1145	YMR021c	5
1146	YNL281w	5
1147	YLR284c	5
1148	YBR215w	5
1149	YGR133w	5
1150	YMR181c	5
1151	YML097c	5
1152	YDR027c	5
1153	YGL049c	5
1154	YMR039c	5
1155	YPR173c	5
1156	YPR051w	5
1157	YPR029c	5
1158	YGL170c	5
1159	YHR204w	5
1160	YKL143w	5
1161	YGL066w	5
1162	YBR211c	5
1163	YOR360c	5
1164	YHR105w	5
1165	YGR184c	5
1166	YNL331c	5
1167	YLR242c	5
1168	YDL161w	5
1169	YLR309c	5
1170	YLR435w	5
1171	YMR054w	5
1172	YKL006c-a	5
1173	YJL138c	5
1174	YIR005w	5
1175	YOL076w	5
1176	YIL040w	5
1177	YNL296w	5
1178	YCL026c-a	5
1179	YLR197w	5
1180	YEL062w	5
1181	YPR045c	5
1182	YIR025w	5
1183	YOR208w	5
1184	YER092w	5
1185	YIL063c	5
1186	YOL130w	5
1187	YNL102w	5
1188	YBR170c	5
1189	YLR457c	5
1190	YDL001w	5
1191	YER178w	5
1192	YLR398c	5
1193	YDR320c	5
1194	YOL090w	5
1195	YCL054w	5
1196	YLR134w	5
1197	YPL085w	5
1198	YCR087c-a	5
1199	YML095c	5
1200	YFL010c	5
1201	YLR089c	5
1202	YOR061w	5
1203	YPL059w	5
1204	YMR043w	5
1205	YPR054w	5
1206	YIL126w	5
1207	YML011c	5
1208	YNL334c	5
1209	YPR018w	5
1210	YFL018c	5
1211	YFL026w	5
1212	YMR049c	5
1213	YGR227w	5
1214	YCR052w	5
1215	YMR238w	5
1216	YMR096w	5
1217	YIL115c	5
1218	YCR041w	5
1219	YDR532c	5
1220	YBR188c	5
1221	YLR292c	5
1222	YLR117c	5
1223	YOL021c	5
1224	YNL124w	5
1225	YOR049c	5
1226	YDL111c	5
1227	YHR069c	5
1228	YDR144c	4
1229	YML058w	4
1230	YER078c	4
1231	YKR007w	4
1232	YBR186w	4
1233	YKL008c	4
1234	YER103w	4
1235	YJL218w	4
1236	YNL131w	4
1237	YHR122w	4
1238	YLR086w	4
1239	YBR093c	4
1240	YIL156w	4
1241	YBR072w	4
1242	YHR170w	4
1243	YOR254c	4
1244	YJL064w	4
1245	YPR066w	4
1246	YDR107c	4
1247	YBR102c	4
1248	YBR202w	4
1249	YIL112w	4
1250	YLR274w	4
1251	YDR356w	4
1252	YOL016c	4
1253	YGR267c	4
1254	YKL119c	4
1255	YBR068c	4
1256	YJR033c	4
1257	YPL003w	4
1258	YLR320w	4
1259	YDR115w	4
1260	YLR449w	4
1261	YBR121c	4
1262	YOR317w	4
1263	YBR122c	4
1264	YJL140w	4
1265	YGL035c	4
1266	YOR097c	4
1267	YBR127c	4
1268	YHR079c	4
1269	YLR376c	4
1270	YDR465c	4
1271	YNL141w	4
1272	YHR026w	4
1273	YBR130c	4
1274	YMR010w	4
1275	YPL149w	4
1276	YPL178w	4
1277	YBR131w	4
1278	YBR252w	4
1279	YGR108w	4
1280	YOR030w	4
1281	YGL022w	4
1282	YGR211w	4
1283	YHR039c-a	4
1284	YGR035c	4
1285	YJL034w	4
1286	YBR228w	4
1287	YMR205c	4
1288	YBR143c	4
1289	YPL043w	4
1290	YOR116c	4
1291	YPL095c	4
1292	YPL242c	4
1293	YGL187c	4
1294	YGR060w	4
1295	YER144c	4
1296	YDL110c	4
1297	YDR155c	4
1298	YGL211w	4
1299	YPR025c	4
1300	YOR151c	4
1301	YDL120w	4
1302	YDR353w	4
1303	YDL064w	4
1304	YBR055c	4
1305	YAL001c	4
1306	YER047c	4
1307	YLR438w	4
1308	YML103c	4
1309	YOL111c	4
1310	YIR018w	4
1311	YDR073w	4
1312	YJL208c	4
1313	YJL210w	4
1314	YBL027w	4
1315	YLR051c	4
1316	YHR057c	4
1317	YNL157w	4
1318	YIL052c	4
1319	YPL212c	4
1320	YGR181w	4
1321	YGL226c-a	4
1322	YOR171c	4
1323	YKR029c	4
1324	YER079w	4
1325	YPR028w	4
1326	YOR213c	4
1327	YML098w	4
1328	YAL014c	4
1329	YBR044c	4
1330	YPR115w	4
1331	YML031w	4
1332	YAL016w	4
1333	YDL135c	4
1334	YPL004c	4
1335	YFR017c	4
1336	YDL137w	4
1337	YML128c	4
1338	YBR038w	4
1339	YKL157w	4
1340	YMR296c	4
1341	YDR184c	4
1342	YPR078c	4
1343	YDR189w	4
1344	YLR340w	4
1345	YOR210w	4
1346	YGL190c	4
1347	YLR294c	4
1348	YLR245c	4
1349	YMR231w	4
1350	YDR080w	4
1351	YGL189c	4
1352	YLR098c	4
1353	YGL096w	4
1354	YML112w	4
1355	YGL110c	4
1356	YDL095w	4
1357	YJR143c	4
1358	YHR077c	4
1359	YOR321w	4
1360	YLR353w	4
1361	YBR027c	4
