Q0085 YPL078c
YBR107c YPR141c
YBR108w YCR009c
YBR108w YDR388w
YBR108w YGR136w
YBR109c YCR065w
YBR109c YML057w
YBR112c YCR084c
YBR112c YOR140w
YBR114w YGR078c
YBR118w YLR249w
YBR119w YIL034c
YBR119w YNL227c
YBR120c YLR200w
YBR121c YHR007c
YBR121c YLR330w
YBR122c YEL061c
YBR122c YLR447c
YBR123c YGR047c
YBR126c YDL022w
YBR126c YGL035c
YBR127c YGR117c
YBR131w YDR150w
YBR131w YML001w
YBR133c YPL016w
YBR135w YBR160w
YBR135w YDR078c
YBR136w YDR499w
YBR137w YMR047c
YBR137w YNL189w
YBR137w YOR127w
YBR138c YIL046w
YBR140c YBR195c
YBR141c YDR372c
YBR141c YER059w
YBR144c YMR047c
YBR155w YJR032w
YBR160w YDR168w
YBR160w YDR245w
YBR160w YFR052w
YBR160w YHR030c
YBR160w YLR210w
YBR160w YMR199w
YBR160w YMR273c
YBR161w YJR091c
YBR162c YBR192w
YBR162c YNL217w
YBR162c YOL028c
YBR162w-a YIL027c
YBR162w-a YML108w
YBR164c YDR027c
YBR164c YDR136c
YBR164c YDR137w
YBR164c YDR203w
YBR164c YHR012w
YBR164c YJR033c
YBR164c YKL119c
YBR164c YLR039c
YBR164c YLR309c
YBR164c YML071c
YBR164c YMR054w
YBR164c YNL041c
YBR164c YNL043c
YBR164c YNL044w
YBR164c YOR068c
YBR164c YOR070c
YBR166c YGR229c
YBR166c YLR447c
YBR167c YGL070c
YBR170c YDR259c
YBR171w YLR229c
YBR171w YML094w
YBR172c YLR268w
YBR173c YIL034c
YBR174c YJR091c
YBR174c YNL298w
YBR175w YIL160c
YBR175w YJL168c
YBR176w YLR291c
YBR176w YLR347c
YBR176w YML064c
YBR176w YPL070w
YBR178w YHR122w
YBR182c YPL089c
YBR186w YDR285w
YBR186w YGL127c
YBR186w YLR373c
YBR187w YNR032w
YBR187w YPR171w
YBR188c YLR117c
YBR192w YER078c
YBR192w YHR114w
YBR193c YGL025c
YBR193c YGL127c
YBR193c YGL253w
YBR193c YGR104c
YBR193c YOL135c
YBR194w YLR418c
YBR194w YPR152c
YBR195c YHR004c
YBR195c YLR418c
YBR195c YPR018w
YBR196c YGL229c
YBR197c YLR288c
YBR198c YDR145w
YBR198c YDR176w
YBR198c YDR259c
YBR198c YDR392w
YBR198c YGL112c
YBR198c YGR252w
YBR198c YHR137w
YBR198c YMR236w
YBR198c YOL148c
YBR198c YPL254w
YBR200w YDL029w
YBR200w YDR264c
YBR200w YEL043w
YBR200w YER114c
YBR200w YER155c
YBR200w YGR229c
YBR200w YHR129c
YBR200w YIL118w
YBR200w YLR229c
YBR200w YNL153c
YBR200w YOR326w
YBR201w YIL034c
YBR204c YPL096w
YBR205w YGL212w
YBR205w YHR105w
YBR205w YHR114w
YBR205w YLR338w
YBR205w YPR107c
YBR209w YPR086w
YBR211c YDR394w
YBR211c YGR179c
YBR211c YKL002w
YBR212w YDL167c
YBR214w YJL124c
YBR216c YKL068w
YBR216c YML007w
YBR216c YMR047c
YBR217w YLR031w
YBR217w YLR423c
YBR217w YML055w
YBR217w YPL149w
YBR221c YLR218c
YBR226c YDL049c
YBR229c YHR101c
YBR229c YJL095w
YBR229c YLR087c
YBR229c YNL322c
YBR229c YOR068c
YBR229c YOR069w
YBR231c YCL016c
YBR231c YEL003w
YBR231c YJR091c
YBR231c YMR263w
YBR231c YNL153c
YBR234c YJL099w
YBR234c YJR117w
YBR234c YLR200w
YBR234c YLR337c
YBR234c YMR198w
YBR234c YNL298w
YBR234c YNL322c
YBR234c YPL234c
YBR237w YDR028c
YBR237w YDR073w
YBR237w YJL203w
YBR239c YMR144w
YBR239c YOR317w
YBR239c YPL133c
YBR241c YER081w
YBR243c YER081w
YBR244w YLR117c
YBR249c YER081w
YBR249c YOR050c
YBR250w YNL012w
YBR252w YPL070w
YBR254c YDR407c
YBR254c YDR472w
YBR254c YML077w
YBR254c YOR115c
YBR255w YCR009c
YBR260c YJL058c
YBR260c YMR032w
YBR261c YDR465c
YBR262c YKL002w
YBR266c YPR031w
YBR270c YHR166c
YBR270c YMR236w
YBR270c YNL018c
YBR270c YPL124w
YBR274w YDR052c
YBR274w YJL124c
YBR274w YNR013c
YBR275c YLR453c
YBR276c YNL098c
YBR278w YDR448w
YBR278w YJR091c
YBR288c YDR323c
YBR288c YGL095c
YBR288c YHR135c
YBR288c YNL084c
YBR288c YNL154c
YBR288c YNR006w
YBR288c YOR036w
YBR289w YER112w
YBR289w YGR252w
YBR290w YJR104c
YBR290w YNL153c
YBR301w YMR047c
YBR302c YPL105c
YCL005w YJR091c
YCL007c YER071c
YCL009c YER094c
YCL011c YDR120c
YCL016c YDL017w
YCL016c YDR217c
YCL016c YEL061c
YCL016c YER164w
YCL016c YFL037w
YCL016c YGL086w
YCL016c YGL216w
YCL016c YGR184c
YCL016c YHR058c
YCL016c YKL101w
YCL016c YKL113c
YCL016c YMR038c
YCL016c YMR190c
YCL016c YMR198w
YCL016c YMR224c
YCL016c YNL273w
YCL016c YPL008w
YCL016c YPR120c
YCL018w YDR160w
YCL019w YDR261w-a
YCL019w YDR261w-b
YCL020w YDR261w-a
YCL022c YIL034c
YCL023c YLR453c
YCL023c YML008c
YCL024w YKR048c
YCL025c YIR038c
YCL026c-a YCR048w
YCL027w YER118c
YCL027w YGR070w
YCL027w YHR158c
YCL027w YIL159w
YCL027w YMR232w
YCL027w YNL075w
YCL027w YNL271c
YCL029c YGL031c
YCL029c YGR113w
YCL029c YJL148w
YCL029c YLR200w
YCL029c YNL106c
YCL029c YNL153c
YCL029c YOR349w
YCL037c YDR170c
YCL037c YIL118w
YCL037c YJR070c
YCL037c YLR418c
YCL038c YMR009w
YCL040w YJL071w
YCL040w YML099c
YCL043c YOR288c
YCL045c YJR091c
YCL046w YGL115w
YCL051w YDL116w
YCL051w YMR035w
YCL051w YPR086w
YCL052c YEL060c
YCL054w YDL014w
YCL055w YGL036w
YCL055w YMR147w
YCL056c YNL100w
YCL058c YGR166w
YCL061c YDL030w
YCL061c YDR369c
YCL061c YHR191c
YCL061c YJL092w
YCL061c YMR048w
YCL061c YMR190c
YCL061c YNL273w
YCL061c YOL012c
YCL061c YOR025w
YCL061c YOR144c
YCL061c YOR368w
YCL061c YPL194w
YCL061c YPR141c
YCL063w YLR373c
YCL063w YPL005w
YCL066w YJR091c
YCL066w YLR288c
YCL067c YMR043w
YCR002c YLL021w
YCR004c YDR032c
YCR004c YLR253w
YCR007c YPL020c
YCR009c YCR034w
YCR009c YDL117w
YCR009c YDR154c
YCR009c YDR245w
YCR009c YDR388w
YCR009c YFL039c
YCR009c YGR078c
YCR009c YIL084c
YCR009c YKL007w
YCR009c YLR200w
YCR009c YLR268w
YCR009c YLR330w
YCR009c YML094w
YCR009c YMR232w
YCR009c YNL097c
YCR009c YNL153c
YCR009c YPL057c
YCR011c YNL154c
YCR016w YLR288c
YCR018c YDR087c
YCR020c-a YEL053c
YCR021c YJL068c
YCR021c YLR453c
YCR028c YMR020w
YCR030c YGL127c
YCR030c YMR132c
YCR031c YJL191w
YCR034w YLR342w
YCR034w YLR372w
YCR035c YDL111c
YCR035c YHR069c
YCR035c YOL021c
YCR036w YGL153w
YCR038c YDL065c
YCR038c YDR532c
YCR039c YCR084c
YCR040w YDR224c
YCR040w YMR043w
YCR041w YJL031c
YCR044c YDR182w
YCR044c YGR078c
YCR044c YLR262c
YCR046c YMR307w
YCR048w YLR242c
YCR048w YNR019w
YCR057c YDR034c
YCR059c YDR400w
YCR065w YHR129c
YCR067c YNL171c
YCR067c YOR128c
YCR067c YPL218w
YCR073c YMR117c
YCR073w-a YNR034w
YCR075c YDR414c
YCR076c YNL189w
YCR077c YDL139c
YCR077c YDR150w
YCR077c YDR378c
YCR077c YLR103c
YCR077c YLR418c
YCR077c YLR438c-a
YCR077c YNL118c
YCR077c YNR027w
YCR077c YOL006c
YCR077c YOL149w
YCR079w YMR277w
YCR081w YPL031c
YCR082w YLR423c
YCR086w YDL214c
YCR086w YDR309c
YCR086w YEL061c
YCR086w YFL008w
YCR086w YGR155w
YCR086w YLR103c
YCR086w YNL153c
YCR087c-a YJR091c
YCR087c-a YKR092c
YCR088w YDR129c
YCR088w YNL020c
YCR088w YNL138w
YCR088w YNL243w
YCR092c YMR167w
YCR092c YOL090w
YCR093w YER068w
YCR095c YDR034c
YCR095c YHL029c
YCR095c YPL027w
YCR098c YJL184w
YCR099c YGR205w
YCR099c YHR148w
YCR106w YJL096w
YCR107w YJR022w
YDL001w YDR207c
YDL001w YIR009w
YDL001w YMR079w
YDL003w YER016w
YDL003w YHR191c
YDL003w YJL074c
YDL003w YLR381w
YDL003w YOR026w
YDL003w YPL017c
YDL005c YDL153c
YDL005c YER022w
YDL005c YGL025c
YDL005c YOL135c
YDL006w YGR229c
YDL006w YKL037w
YDL006w YLR039c
YDL006w YLR342w
YDL006w YMR307w
YDL006w YOR208w
YDL008w YGL240w
YDL008w YNL172w
YDL008w YOR249c
YDL012c YFR047c
YDL012c YHR032w
YDL012c YJL065c
YDL013w YLR438c-a
YDL013w YOR144c
YDL014w YLR197w
YDL014w YPL043w
YDL017w YDL160c
YDL017w YDR363w
YDL017w YEL023c
YDL017w YHR191c
YDL017w YLR055c
YDL017w YLR235c
YDL017w YLR350w
YDL017w YLR435w
YDL017w YML016c
YDL017w YMR078c
YDL017w YMR190c
YDL017w YOR360c
YDL024c YEL017w
YDL026w YDR318w
YDL028c YDR168w
YDL028c YEL061c
YDL029w YDR389w
YDL029w YER155c
YDL029w YGL250w
YDL029w YHR142w
YDL029w YJL095w
YDL029w YJL099w
YDL029w YJL183w
YDL029w YJR065c
YDL029w YJR117w
YDL029w YKR042w
YDL029w YNL243w
YDL030w YDL239c
YDL030w YJL203w
YDL030w YML049c
YDL030w YMR005w
YDL030w YOR017w
YDL033c YLR418c
YDL035c YER020w
YDL036c YER087w
YDL042c YDR227w
YDL043c YGL049c
YDL043c YJL203w
YDL043c YLL014w
YDL043c YNL023c
YDL044c YER144c
YDL044c YLL051c
YDL047w YER155c
YDL047w YGL229c
YDL047w YGR092w
YDL047w YML032c
YDL049c YGL043w
YDL049c YGR133w
YDL049c YGR159c
YDL049c YHR203c
YDL049c YIL121w
YDL049c YML071c
YDL049c YOR069w
YDL049c YOR070c
YDL049c YOR311c
YDL053c YGL070c
YDL055c YNL189w
YDL062w YLR277c
YDL063c YDR162c
YDL065c YGR218w
YDL065c YLR071c
YDL065c YMR163c
YDL066w YMR047c
YDL070w YOL131w
YDL071c YEL068c
YDL074c YFL008w
YDL074c YFR031c
YDL074c YHR007c
YDL074c YJL168c
YDL074c YNL153c
YDL074c YOL069w
YDL074c YOR144c
YDL077c YDR080w
YDL077c YMR231w
YDL080c YMR263w
YDL081c YGR209c
YDL081c YLR340w
YDL081c YOR229w
YDL081c YPR078c
YDL085w YDR034c
YDL087c YJL074c
YDL088c YMR153w
YDL089w YLR324w
YDL089w YMR316c-b
YDL090c YKL019w
YDL091c YIL022w
YDL095w YJR143c
YDL096c YOR002w
YDL100c YDR304c
YDL100c YDR415c
YDL100c YHR114w
YDL100c YLR039c
YDL100c YML101c
YDL100c YOL111c
YDL100c YOL159c
YDL100c YPR037c
YDL102w YMR075c-a
YDL104c YGR292w
YDL110c YDR318w
YDL111c YHR069c
YDL113c YPL174c
YDL114w YLR040c
YDL116w YDR113c
YDL116w YGL179c
YDL116w YMR047c
YDL116w YPL091w
YDL116w YPL124w
YDL117w YER016w
YDL117w YHR142w
YDL117w YNL271c
YDL118w YLR295c
YDL120w YKL148c
YDL120w YPR004c
YDL121c YMR305c
YDL126c YKL213c
YDL127w YDR388w
YDL127w YJL095w
YDL127w YPL031c
YDL129w YJL020c
YDL129w YJR063w
YDL130w YDR399w
YDL130w YJL173c
YDL130w YJL210w
YDL130w YJR012c
YDL130w YJR144w
YDL132w YGL249w
YDL132w YJL194w
YDL132w YLR079w
YDL132w YLR128w
YDL132w YPL256c
YDL133w YDR126w
YDL135c YLR229c
YDL137w YNL287w
YDL138w YDL194w
YDL139c YGL153w
YDL140c YOR210w
YDL142c YPL174c
YDL143w YDR129c
YDL143w YDR212w
YDL143w YFL039c
YDL144c YDR088c
YDL147w YDR341c
YDL151c YLR103c
YDL153c YDR307w
YDL153c YDR422c
YDL153c YFL001w
YDL153c YGL185c
YDL153c YJR145c
YDL153c YNL125c
YDL153c YOR252w
YDL153c YOR309c
YDL153c YOR321w
YDL153c YPL026c
YDL154w YFL003c
YDL154w YIL144w
YDL155w YDR034c
YDL155w YHR007c
YDL155w YLR330w
YDL155w YPL124w
YDL155w YPR135w
YDL156w YLR116w
YDL159w YDR103w
YDL159w YLR362w
YDL160c YEL015w
YDL160c YER081w
YDL160c YLR373c
YDL160c YOL149w
YDL161w YIR006c
YDL161w YLR116w
YDL162c YDR217c
YDL162c YDR318w
YDL162c YKL002w
YDL162c YNL250w
YDL165w YDR448w
YDL165w YGL127c
YDL170w YGR078c
YDL175c YJL124c
YDL179w YMR147w
YDL181w YLL021w
YDL181w YNL250w
YDL186w YJL167w
YDL186w YLR452c
YDL188c YMR028w
YDL191w YLR262c
YDL192w YDR320c
YDL192w YGL137w
YDL192w YGL206c
YDL192w YGR130c
YDL192w YNL287w
YDL194w YDR345c
YDL194w YMR011w
YDL195w YIL109c
YDL195w YLR208w
YDL202w YER009w
YDL202w YER022w
YDL203c YPL124w
YDL204w YOL065c
YDL206w YLR330w
YDL206w YNL192w
YDL206w YPR159w
YDL208w YHR089c
YDL210w YGL230c
YDL210w YHR122w
YDL210w YLR453c
YDL216c YMR025w
YDL217c YHR005c-a
YDL217c YHR114w
YDL217c YJL054w
YDL217c YOR297c
YDL218w YGL044c
YDL225w YPR135w
YDL226c YER123w
YDL226c YHR135c
YDL226c YKL126w
YDL226c YOR327c
YDL233w YGL181w
YDL237w YPR148c
YDL239c YDR176w
YDL239c YLR098c
YDL239c YML042w
YDL239c YNR012w
YDL239c YOR127w
YDL239c YPL049c
YDL239c YPL255w
YDL241w YLR447c
YDL247w YDR034c
YDR004w YHR191c
YDR004w YJL023c
YDR004w YLR268w
YDR005c YGL044c
YDR008c YJR091c
YDR010c YJR091c
YDR014w YDR332w
YDR020c YNR012w
YDR022c YLR288c
YDR022c YLR423c
YDR023w YDR034c
YDR025w YOR285w
YDR025w YPR119w
YDR026c YDR110w
YDR027c YJR060w
YDR028c YHR165c
YDR028c YMR140w
YDR028c YNR011c
YDR034c YDR277c
YDR034c YER038c
YDR034c YER044c
YDR034c YER064c
YDR034c YFR021w
YDR034c YFR046c
YDR034c YGL125w
YDR034c YGL181w
YDR034c YGR124w
YDR034c YHR060w
YDR034c YIL045w
YDR034c YJL185c
YDR034c YKL068w
YDR034c YLR063w
YDR034c YPL102c
YDR034c YPR187w
YDR042c YLR413w
YDR044w YNL189w
YDR045c YJL011c
YDR045c YLR277c
YDR052c YDR217c
YDR052c YER173w
YDR052c YER177w
YDR052c YGR078c
YDR052c YHR191c
YDR052c YKR059w
YDR052c YLR235c
YDR052c YLR320w
YDR052c YMR001c
YDR052c YPL024w
YDR052c YPR135w
YDR054c YDR139c
YDR054c YJL194w
YDR054c YJR090c
YDR054c YLL039c
YDR054c YLR306w
YDR054c YPL003w
YDR054c YPR120c
YDR056c YGL070c
YDR056c YHR114w
YDR059c YMR022w
YDR060w YPL024w
YDR063w YGL239c
YDR067c YGL070c
YDR068w YLR237w
YDR069c YHR114w
YDR069c YLL039c
YDR074w YER019c-a
YDR074w YML100w
YDR076w YHR191c
YDR076w YML032c
YDR076w YMR078c
YDR076w YNL273w
YDR076w YOR144c
YDR076w YPR135w
YDR079w YGL070c
YDR079w YJL099w
YDR079w YJR063w
YDR080w YLR262c
YDR082w YER112w
YDR084c YEL054c
YDR084c YER011w
YDR084c YGL161c
YDR085c YHR107c
YDR085c YPL242c
YDR087c YGR103w
YDR087c YLR447c
YDR088c YGR006w
YDR091c YGL185c
YDR095c YGL127c
YDR097c YMR167w
YDR097c YOL090w
YDR099w YLR453c
YDR099w YNL042w
YDR100w YGL161c
YDR100w YIL004c
YDR100w YNL189w
YDR100w YPL020c
YDR102c YGR218w
YDR102c YPR086w
YDR103w YER132c
YDR103w YGR040w
YDR105c YNL160w
YDR108w YDR472w
YDR108w YGR166w
YDR108w YIR040c
YDR108w YLR085c
YDR108w YLR262c
YDR108w YMR218c
YDR110w YIL061c
YDR113c YGR098c
YDR115w YOR264w
YDR116c YDR309c
YDR118w YGL240w
YDR118w YKL022c
YDR118w YLR127c
YDR118w YNL172w
YDR118w YOR249c
YDR122w YOL082w
YDR123c YOL108c
YDR126w YER083c
YDR126w YGL007w
YDR126w YGR105w
YDR126w YJL004c
YDR126w YJL095w
YDR126w YKL118w
YDR126w YKR001c
YDR126w YLR373c
YDR126w YMR312w
YDR126w YOL018c
YDR126w YPL101w
YDR126w YPL102c
YDR126w YPL232w
YDR127w YJR022w
YDR128w YLR208w
YDR129c YDR245w
YDR129c YFL039c
YDR129c YHR142w
YDR129c YIL034c
YDR129c YLR330w
YDR129c YNL322c
YDR132c YHR170w
YDR133c YJR103w
YDR134c YOR334w
YDR136c YGL070c
YDR136c YKL190w
YDR136c YOL091w
YDR137w YKL190w
YDR137w YPR159w
YDR138w YNL088w
YDR139c YDR328c
YDR139c YLR306w
YDR142c YER081w
YDR142c YGL153w
YDR142c YJL210w
YDR145w YMR236w
YDR146c YER179w
YDR146c YGR089w
YDR146c YHR030c
YDR148c YHR114w
YDR148c YMR047c
YDR148c YNL189w
YDR149c YEL003w
YDR149c YER016w
YDR149c YNL153c
YDR149c YOR326w
YDR149c YPL269w
YDR150w YDR295c
YDR150w YEL061c
YDR150w YGL216w
YDR150w YGL217c
YDR150w YGR089w
YDR150w YGR229c
YDR150w YIL034c
YDR150w YJL074c
YDR150w YJL154c
YDR150w YJR112w
YDR150w YLR210w
YDR150w YML094w
YDR152w YGR173w
YDR155c YER081w
YDR155c YKR105c
YDR156w YJR063w
YDR156w YJR091c
YDR156w YOL006c
YDR162c YGR078c
YDR162c YIL133c
YDR162c YLR210w
YDR162c YLR216c
YDR162c YML026c
YDR162c YML094c-a
YDR162c YML094w
YDR164c YKR014c
YDR166c YOR326w
YDR167w YFL033c
YDR167w YGL112c
YDR167w YKL012w
YDR167w YML015c
YDR167w YML114c
YDR167w YOL148c
YDR167w YPL089c
YDR167w YPR115w
YDR174w YIL013c
YDR174w YML064c
YDR176w YDR457w
YDR176w YER127w
YDR176w YGL013c
YDR176w YGL112c
YDR176w YLR055c
YDR176w YLR423c
YDR179c YJR015w
YDR183w YGL044c
YDR189w YKR068c
YDR192c YGR218w
YDR192c YMR255w
YDR195w YER133w
YDR200c YLR238w
YDR200c YMR052w
YDR201w YHR083w
YDR201w YKL179c
YDR201w YKR083c
YDR203w YOR087w
YDR206w YOR047c
YDR207c YJL099w
YDR207c YMR047c
YDR207c YPL031c
YDR212w YLR030w
YDR214w YJL030w
YDR216w YDR448w
YDR217c YHL029c
YDR217c YHR191c
YDR217c YLR268w
YDR217c YNL153c
YDR225w YDR332w
YDR225w YPR135w
YDR227w YER151c
