Q0085 YPL078c
YBR135w YLR210w
YBR136w YDR499w
YBR136w YGR180c
YBR137w YKR083c
YBR139w YOR381w
YBR140c YBR195c
YBR141c YDR372c
YBR143c YER081w
YBR143c YMR080c
YBR143c YPL043w
YBR144c YDR034c
YBR145w YMR047c
YBR146w YIL070c
YBR152w YJR091c
YBR154c YER071c
YBR154c YOR341w
YBR155w YDR463w
YBR155w YER081w
YBR155w YPL240c
YBR160w YDL017w
YBR160w YDR168w
YBR160w YFL029c
YBR160w YHL007c
YBR160w YKL145w
YBR160w YLR210w
YBR160w YMR199w
YBR160w YMR273c
YBR160w YNL189w
YBR160w YPR119w
YBR160w YPR120c
YBR161w YJR091c
YBR162c YPR155c
YBR164c YCR044c
YBR164c YDR108w
YBR164c YDR126w
YBR164c YDR137w
YBR164c YGR105w
YBR164c YJL154c
YBR164c YJR032w
YBR164c YJR033c
YBR164c YLR447c
YBR164c YML071c
YBR164c YMR054w
YBR164c YNL044w
YBR164c YNL051w
YBR164c YNL296w
YBR164c YOR068c
YBR164c YOR069w
YBR164c YOR132w
YBR167c YGL070c
YBR171w YBR234c
YBR171w YCL057w
YBR171w YGR078c
YBR171w YLR200w
YBR171w YNL153c
YBR172c YIL004c
YBR172c YKL074c
YBR173c YIL034c
YBR173c YNL273w
YBR174c YNL298w
YBR175w YIL160c
YBR176w YGL070c
YBR176w YGL127c
YBR176w YLR291c
YBR176w YNL189w
YBR178w YHR122w
YBR180w YDR034c
YBR181c YJR075w
YBR182c YPL089c
YBR184w YNL225c
YBR185c YER017c
YBR186w YDR285w
YBR187w YNR032w
YBR188c YLL036c
YBR192w YHR114w
YBR193c YER022w
YBR193c YGL253w
YBR193c YIL021w
YBR193c YOR174w
YBR193c YPR086w
YBR194w YLR113w
YBR194w YLR418c
YBR195c YLR103c
YBR196c YDL215c
YBR196c YGL229c
YBR197c YKL002w
YBR197c YNR037c
YBR198c YDR448w
YBR198c YGL112c
YBR198c YGR252w
YBR198c YHR099w
YBR198c YHR137w
YBR198c YML061c
YBR198c YMR236w
YBR198c YOL148c
YBR198c YPL254w
YBR200w YER114c
YBR200w YFL039c
YBR200w YGR134w
YBR200w YHR129c
YBR200w YJL020c
YBR200w YJL157c
YBR200w YKR055w
YBR200w YLR200w
YBR200w YNL153c
YBR200w YNL298w
YBR200w YOR188w
YBR200w YOR326w
YBR201w YIL034c
YBR202w YLR103c
YBR204c YPL096w
YBR205w YFL038c
YBR205w YHR105w
YBR205w YLR338w
YBR205w YPR107c
YBR211c YDR394w
YBR211c YGR179c
YBR213w YMR206w
YBR214w YJL124c
YBR215w YDR052c
YBR215w YKL113c
YBR215w YLR103c
YBR215w YLR453c
YBR216c YKL068w
YBR216c YML007w
YBR216c YMR047c
YBR217w YLL042c
YBR217w YLR031w
YBR217w YML055w
YBR217w YMR047c
YBR217w YNR007c
YBR220c YJR063w
YBR221c YLR418c
YBR223c YDR510w
YBR228w YJR063w
YBR228w YLR135w
YBR228w YMR190c
YBR229c YGL084c
YBR229c YHR030c
YBR229c YJL095w
YBR229c YLR087c
YBR229c YMR200w
YBR229c YNL322c
YBR231c YDR150w
YBR231c YER016w
YBR231c YML094w
YBR231c YNL153c
YBR233w YMR173w
YBR234c YER083c
YBR234c YER149c
YBR234c YER155c
YBR234c YJL099w
YBR234c YJR032w
YBR234c YLR111w
YBR234c YLR330w
YBR234c YMR109w
YBR234c YNL153c
YBR234c YNL233w
YBR234c YPL234c
YBR235w YGL027c
YBR237w YDR028c
YBR237w YJL203w
YBR242w YKL002w
YBR244w YLR117c
YBR249c YEL047c
YBR250w YML038c
YBR252w YPL070w
YBR253w YMR112c
YBR254c YDR246w
YBR254c YDR407c
YBR254c YDR472w
YBR254c YGR166w
YBR254c YHR041c
YBR254c YKR068c
YBR254c YML077w
YBR255w YDR388w
YBR255w YIL106w
YBR260c YDL029w
YBR260c YGR196c
YBR260c YOR181w
YBR260c YPL031c
YBR261c YDR465c
YBR264c YIL034c
YBR266c YPR031w
YBR269c YLR276c
YBR270c YCR077c
YBR270c YGR249w
YBR270c YHR077c
YBR270c YHR166c
YBR270c YJL039c
YBR270c YLR423c
YBR270c YMR236w
YBR270c YNL018c
YBR270c YNL047c
YBR270c YOR047c
YBR271w YJR121w
YBR272c YLR015w
YBR274w YER081w
YBR274w YJL124c
YBR274w YMR255w
YBR276c YNL098c
YBR277c YIL034c
YBR278w YDR448w
YBR278w YIL006w
YBR278w YJR091c
YBR281c YNL191w
YBR283c YHR007c
YBR285w YPR156c
YBR288c YDR323c
YBR288c YDR495c
YBR288c YGR261c
YBR288c YHR135c
YBR288c YLR262c
YBR288c YML097c
YBR288c YNL154c
YBR288c YNL243w
YBR288c YNR006w
YBR288c YPR173c
YBR289w YPL129w
YBR290w YJR104c
YBR296c YLR137w
YBR296c YML089c
YBR302c YDR311w
YBR302c YPL105c
YCL001w YLR039c
YCL004w YER026c
YCL007c YER071c
YCL009c YER094c
YCL009c YLR288c
YCL010c YKL023w
YCL014w YIL104c
YCL014w YJR092w
YCL016c YCL061c
YCL016c YDL003w
YCL016c YDL017w
YCL016c YDL020c
YCL016c YDR207c
YCL016c YDR217c
YCL016c YEL061c
YCL016c YER019w
YCL016c YER095w
YCL016c YGL066w
YCL016c YGR188c
YCL016c YHR031c
YCL016c YJL013c
YCL016c YJL092w
YCL016c YJL168c
YCL016c YJR043c
YCL016c YKL101w
YCL016c YLR103c
YCL016c YLR123c
YCL016c YLR235c
YCL016c YML028w
YCL016c YMR038c
YCL016c YMR048w
YCL016c YMR179w
YCL016c YMR190c
YCL016c YMR198w
YCL016c YMR224c
YCL016c YNL153c
YCL016c YNL206c
YCL016c YNL250w
YCL016c YNL273w
YCL016c YPL194w
YCL016c YPR036w
YCL017c YJR104c
YCL018w YKL106w
YCL019w YDR261w-a
YCL019w YDR261w-b
YCL020w YDR261w-a
YCL020w YDR261w-b
YCL020w YDR510w
YCL022c YIL034c
YCL023c YLR453c
YCL024w YKR048c
YCL025c YIR038c
YCL026c-a YNL189w
YCL026c-a YPR086w
YCL027w YER118c
YCL027w YGR070w
YCL027w YKL105c
YCL027w YKR023w
YCL027w YKR101w
YCL027w YNL058c
YCL027w YNL075w
YCL029c YDR289c
YCL029c YDR360w
YCL029c YEL003w
YCL029c YEL061c
YCL029c YER016w
YCL029c YER096w
YCL029c YJL030w
YCL029c YJR053w
YCL029c YLR039c
YCL029c YML085c
YCL029c YML094w
YCL029c YNL189w
YCL029c YOR265w
YCL029c YOR326w
YCL029c YOR349w
YCL030c YDL047w
YCL031c YKL156w
YCL032w YDR032c
YCL032w YDR309c
YCL032w YHR061c
YCL032w YLR362w
YCL032w YOR212w
YCL032w YPR076w
YCL033c YKL130c
YCL034w YOR181w
YCL035c YIL034c
YCL037c YDL029w
YCL037c YDR363w
YCL037c YFL039c
YCL039w YMR047c
YCL040w YDR516c
YCL043c YDR518w
YCL043c YLR354c
YCL049c YKL002w
YCL051w YDL116w
YCL051w YPR086w
YCL054w YDL014w
YCL054w YER006w
YCL055w YGL192w
YCL055w YNL196c
YCL056c YIL034c
YCL056c YNL100w
YCL058c YGR166w
YCL058c YPL215w
YCL061c YDR217c
YCL061c YER095w
YCL061c YER173w
YCL061c YHR031c
YCL061c YML032c
YCL061c YMR190c
YCL061c YNL250w
YCL061c YOL012c
YCL061c YOR024w
YCL061c YOR368w
YCL063w YER150w
YCL063w YLR373c
YCL066w YJR091c
YCL066w YLR288c
YCL067c YCR084c
YCL067c YMR043w
YCR002c YDL225w
YCR002c YHR107c
YCR002c YJR076c
YCR002c YNL233w
YCR005c YJL042w
YCR005c YPL245w
YCR009c YDR245w
YCR009c YEL003w
YCR009c YHR142w
YCR009c YIL034c
YCR009c YIL084c
YCR009c YJL095w
YCR009c YKL007w
YCR009c YKL213c
YCR009c YLR200w
YCR009c YML094w
YCR009c YNL084c
YCR009c YNL097c
YCR009c YNL233w
YCR009c YNL298w
YCR009c YOR089c
YCR009c YOR216c
YCR009c YPL050c
YCR011c YNL154c
YCR012w YHR041c
YCR012w YOR110w
YCR014c YOL085c
YCR016w YDL231c
YCR016w YLR288c
YCR020c-a YFR037c
YCR021c YDL153c
YCR027c YOL083w
YCR031c YDL017w
YCR033w YGR078c
YCR033w YLR200w
YCR034w YDL017w
YCR034w YLR342w
YCR034w YMR202w
YCR035c YGL127c
YCR035c YGR195w
YCR035c YOL021c
YCR036w YGL153w
YCR038c YHR119w
YCR039c YCR084c
YCR040w YDR224c
YCR041w YDR176w
YCR041w YIL118w
YCR042c YDR167w
YCR044c YDR182w
YCR044c YHR114w
YCR044c YLR039c
YCR044c YLR262c
YCR045c YOR348c
YCR047c YNL282w
YCR048w YLR242c
YCR048w YNR019w
YCR052w YNL202w
YCR053w YLR208w
YCR057c YDR034c
YCR057c YPL094c
YCR063w YDR408c
YCR065w YLR085c
YCR066w YLR262c
YCR067c YNL171c
YCR067c YOR128c
YCR068w YER019w
YCR072c YER006w
YCR072c YER081w
YCR073c YJL128c
YCR073c YLR006c
YCR073c YMR117c
YCR073w-a YNR034w
YCR075c YDR414c
YCR076c YLR291c
YCR076c YNL118c
YCR077c YDL175c
YCR077c YDR378c
YCR077c YDR389w
YCR077c YER115c
YCR077c YER146w
YCR077c YGR074w
YCR077c YJL124c
YCR077c YLR418c
YCR077c YML109w
YCR077c YNL088w
YCR077c YNR053c
YCR082w YEL003w
YCR082w YLR423c
YCR086w YEL003w
YCR086w YEL061c
YCR086w YFL008w
YCR086w YHR061c
YCR086w YJR057w
YCR086w YKR010c
YCR086w YLR103c
YCR086w YLR200w
YCR086w YML085c
YCR086w YML094w
YCR087c-a YDR510w
YCR087c-a YJR091c
YCR087w YKL130c
YCR087w YML064c
YCR088w YDR388w
YCR088w YFL039c
YCR088w YNL106c
YCR092c YMR167w
YCR093w YDR376w
YCR093w YER068w
YCR093w YIL038c
YCR094w YGL090w
YCR094w YJR091c
YCR095c YDR034c
YCR095c YPL027w
YCR099c YGR203w
YCR099c YGR262c
YCR099c YHR148w
YCR106w YNL171c
YCR107w YJR022w
YCR107w YOR114w
YDL001w YDR207c
YDL001w YLR457c
YDL002c YER092w
YDL003w YDR254w
YDL003w YDR318w
YDL003w YEL061c
YDL003w YFL008w
YDL003w YJL074c
YDL003w YJR135c
YDL003w YNL273w
YDL003w YOR026w
YDL003w YPL017c
YDL003w YPL018w
YDL003w YPR141c
YDL005c YGL025c
YDL005c YOR174w
YDL006w YDL230w
YDL006w YDR162c
YDL006w YGL027c
YDL006w YGR229c
YDL006w YHR030c
YDL006w YLR039c
YDL006w YLR262c
YDL006w YOR208w
YDL008w YDR118w
YDL008w YFR036w
YDL008w YLR102c
YDL008w YNL172w
YDL011c YEL023c
YDL012c YDR151c
YDL012c YFR047c
YDL012c YJL065c
YDL013w YDL030w
YDL013w YER116c
YDL013w YIL061c
YDL013w YJR091c
YDL014w YLR197w
YDL014w YPL043w
YDL017w YDL132w
YDL017w YDR217c
YDL017w YDR363w
YDL017w YFR057w
YDL017w YGL019w
YDL017w YGL086w
YDL017w YHR191c
YDL017w YJR032w
YDL017w YJR053w
YDL017w YKL039w
YDL017w YKL101w
YDL017w YLR288c
YDL017w YLR350w
YDL017w YML032c
YDL017w YMR055c
YDL017w YOL081w
YDL017w YOR006c
YDL017w YOR027w
YDL017w YOR368w
YDL020c YDL049c
YDL020c YDR363w
YDL020c YHR200w
YDL020c YIL007c
YDL020c YOR254c
YDL020c YPR135w
YDL028c YEL061c
YDL028c YIL106w
YDL029w YDR018c
YDL029w YFR040w
YDL029w YJL095w
YDL029w YJL183w
YDL029w YJR075w
YDL029w YJR117w
YDL029w YJR118c
YDL029w YLR111w
YDL029w YLR200w
YDL029w YLR330w
YDL029w YLR337c
YDL029w YNL084c
YDL029w YNL189w
YDL029w YNL233w
YDL029w YNL243w
YDL029w YNL322c
YDL029w YOR098c
YDL029w YOR216c
YDL029w YPL069c
YDL030w YDL043c
YDL030w YDR421w
YDL030w YML049c
YDL030w YMR117c
YDL030w YOR023c
YDL033c YDL049c
YDL033c YJL168c
YDL033c YLR200w
YDL036c YER087w
YDL042c YDR227w
YDL042c YLR453c
YDL043c YDR131c
YDL043c YER112w
YDL043c YGL049c
YDL043c YJL203w
YDL043c YKL074c
YDL043c YKL155c
YDL043c YNR053c
YDL043c YPL215w
YDL044c YLR386w
YDL045c YLR295c
YDL046w YJR091c
YDL047w YGL229c
YDL047w YGR092w
YDL047w YKR028w
YDL049c YDL065c
YDL049c YDR244w
YDL049c YDR249c
YDL049c YGR064w
YDL049c YGR133w
YDL049c YHL005c
YDL049c YHR013c
YDL049c YLR350w
YDL049c YML071c
YDL049c YMR060c
YDL049c YNL171c
YDL049c YOR069w
YDL049c YPR197c
YDL053c YGL070c
YDL054c YER140w
YDL054c YGR173w
YDL056w YLR182w
YDL058w YGR120c
YDL059c YDL130w
YDL059c YFL059w
YDL061c YDR318w
YDL065c YDR034c
YDL065c YJL062w
YDL065c YLR063w
YDL065c YMR163c
YDL066w YMR047c
YDL069c YEL003w
YDL070w YGL063w
YDL070w YOL131w
YDL071c YEL068c
YDL071c YFL017c
YDL071c YGR269w
YDL071c YNL155w
YDL072c YNL079c
YDL074c YEL043w
YDL074c YHR007c
YDL074c YMR263w
YDL076c YLR098c
YDL077c YLR039c
YDL080c YMR263w
YDL081c YMR047c
YDL081c YPR078c
YDL089w YDR233c
YDL089w YML008c
YDL089w YPR028w
YDL094c YDL196w
YDL095w YOR002w
YDL096c YOR002w
YDL100c YDL121c
YDL100c YDR259c
YDL100c YDR431w
YDL100c YDR513w
YDL100c YGR189c
YDL100c YHR005c
YDL100c YHR057c
YDL100c YHR114w
YDL100c YHR128w
YDL100c YLR262c
YDL100c YOL111c
YDL100c YOR164c
YDL101c YGR180c
YDL101c YKL025c
YDL102w YDR004w
YDL102w YHR118c
YDL102w YJR068w
YDL102w YMR307w
YDL102w YOL093w
YDL104c YGR292w
YDL105w YER081w
YDL107w YDL194w
YDL108w YFL029c
YDL108w YOR151c
YDL108w YPR025c
YDL110c YDR318w
YDL110c YKL015w
YDL110c YLR125w
YDL111c YGR158c
YDL111c YGR195w
YDL111c YOL021c
YDL114w YLR040c
YDL116w YDR113c
YDL116w YGL092w
YDL116w YHL004w
YDL116w YHR033w
YDL116w YJL041w
YDL116w YKR082w
YDL116w YNL118c
YDL117w YER016w
YDL118w YDR318w
YDL120w YKL148c
YDL120w YPR004c
YDL121c YMR305c
YDL126c YKL213c
YDL127w YDR388w
YDL127w YKL002w
YDL127w YPL031c
YDL129w YJL020c
YDL130w YDR367w
YDL130w YDR399w
YDL130w YJL173c
YDL130w YJL210w
YDL130w YJR108w
YDL130w YLR340w
YDL131w YLR427w
YDL132w YDR054c
YDL132w YFL009w
YDL132w YLR100w
YDL132w YLR128w
YDL132w YLR368w
YDL133w YDR126w
YDL134c YHR114w
YDL134c YLR373c
YDL134c YOR014w
YDL135c YKR055w
YDL135c YLR229c
YDL135c YNL176c
YDL138w YDR034c
YDL140c YER125w
YDL140c YGL130w
YDL140c YML010w
YDL140c YNL266w
YDL140c YOR210w
YDL142c YPL174c
YDL143w YDR212w
YDL143w YIL142w
YDL145c YER112w
YDL147w YDR201w
YDL149w YLR065c
YDL151c YLR103c
YDL153c YDL226c
YDL153c YFL001w
YDL153c YGL185c
YDL153c YGR160w
YDL153c YJL076w
YDL153c YJR145c
YDL153c YLR006c
YDL153c YNL216w
YDL153c YNL280c
YDL153c YOL118c
YDL153c YOR252w
YDL153c YOR309c
YDL153c YPR029c
YDL154w YGL170c
YDL154w YIL144w
YDL154w YMR224c
YDL155w YDR034c
YDL155w YGR078c
YDL155w YLR200w
YDL156w YLR116w
YDL159w YDR103w
YDL159w YLL021w
YDL159w YLR313c
YDL160c YEL015w
YDL160c YER140w
YDL160c YGR092w
YDL160c YJR122w
YDL160c YLR373c
YDL160c YNR052c
YDL160c YOL149w
YDL162c YKL002w
YDL164c YGL207w
YDL165w YDR448w
YDL166c YLR222c
YDL172c YLR295c
YDL175c YJL124c
YDL178w YFL039c
YDL179w YMR147w
YDL179w YPL031c
YDL181w YGR089w
YDL181w YLL021w
YDL186w YJL167w
YDL188c YMR028w
YDL188c YPR040w
YDL191w YLR039c
YDL192w YDL226c
